pichwara se akhrot kahe fod rahe ho chicha	1
bhaunk bhaunk ke pagal ho jaata ab tak....	0
shivsaina  nam mulla  saina  rakh  hijra  uddhav thackeray	0
there are some yahodi daboo like imran chore zakat khore	0
chutiye ye hunduism ni he islam he , isme koi kisi muslim ko ni maarta gashti ke bache	0
han g rakhail e awal kiya bak rai hai. kisay ahmaq kah rai hai dali. tera baap ho ga ahmaq ghasti bosri ki dali	0
can you please stop pinning a fan everytime bro  what you need attention  ki log aakar gaali de  usne tera naam likha ho post me  usne tere idol sid ko kuch bola ho   ajeeb chutiya ho yaar poke krna h 24ghante tum chutiyo ko  show ko show ki tarah dekho bc	0
 hum kisi se km nhi	1
aurat bhatak sakri hy kbi “maa” ni bhatakti .  ye line hmy btati hy ky islam ny nikah ko kitna khubsurat rishta bnaya hy , jismy aurat phly sy ziada mazboot hojati , mukammal hojati hy . ♥️  #alif	1
  ye ek aur a gya...bikkau maal...mufty kay kutay...mujib shami lifafay k sath beth kr putar tum jo ho wo chupp nahi sakta... university mein tum jesy londday mushkil waqt mein kaam aatay hain...useless stunts	0
akhrott wants to know your location..	0
 with due respect sir kya aurat march se ye chezain khtm hu jain gi...?	1
.. mera jism meri marzi ka nara woh aurteen laga rahi hain jinki marzi ho betu mard hath bandh kar mazrat kar leta hai.🙏🏻😔#stopauratbarbadimarch  ..	0
  good next time b kabhi koi chizz mat mangnnna..... coz we have mind not heart.... stay blessed 😘	0
hahaha ap ke jawab bta rahe kon gussa kr raha ha aur haqiqat ko jutlaya nahi ja sakta api boot chatney wali riwayat n leauge me paie jati ha 😊😊😊😊	0
#boycottchhapaak deepika randi hai	0
 😂😂😂😂😂😂 chal ja tujhy maaf kia	1
agr ap chahtay hn k log ap ko acha kahean to apna naam acha rakh lean or koi tareeqa nai h	1
nhi walid sabh ne wo aksr tumri maa sey milne aty te.	0
ooper se sir g msla ye ha k this works too 😁😂	1
 apk options thk ni hain....basically logon ko march pe ni slogans pe aitraz hai	1
... want or change their religion.   #pakistan’s constitution does not give its citizens right to choose any religion or even change it, in fact it criminalizes and persecutes its own ahmaddiya muslim community (who are criminalized to not even call themselves muslims)	1
abay saalay	0
  haaan mene b dekha thaa ye matermind nai dhokebaz hy	0
no we do not want a syria. peoples sects should he stated instead of accusations being fired hes ahmedi. etc . we are a sunni country it should remain that way.	1
aray bosdk 🌚 ✌️	0
 abi tk tu khair hi haa😂	1
   hn ye sai hy 😂😂😂	1
teri baji ko bhe ye he aitraz ha ha wesay patwari khota he tera asli abba ha beshak apni ami jan say puch lay baki imran yahodi bayghart kashmir frosh say to teri ami jan nay taste change kia ha imrani tati sahib	0
masjid nhi tm mullo ka kabr khodunga wha madarchod halale ki paidaish ...10 baap ki aulaad .. pakistani kutte saale .. hindustan m rhte ho hm hindu log tmhare maa bhen chod denge bhen chod agr hmari dimag ki hti to	0
pechy auntie check kar bhai iskaa link milyy ga kia 😜😜👆	0
    haan chal abb teri baari😁	1
me right now: ye sun'ny k liye intzar kia tha! 😑😭 #pslv #psl2020 #tyyarhain 	1
tum jesi ghatia aurat ka kam hi ni hai media par.kisi kothhay pe ja aur ulta late ja ke.begherat	0
bhai, koi tip hi de dyn phr aap? 😂😂	1
haha randi saali geeli hoae tu	0
rt : tf is wrong with arsenal. why the helll are you building from the backkkkk bhenchod where are your braincellss	0
  mickey mouse dakho chup kar k 😤	0
rt : bhenchod pakad pakad ke musalmano se bayan le rahe hain 😬😂😂	0
bat bhagnaay ki nahi hai randi tu hai randi tujhsy to achay achay side pe hotay hai magar koi koi teri maa chodta hai un mai sy aj mai ek hogya jo teri maa chod gya	0
gandu dimag bahanchod senseless baatein bosdkbosdk  likhne se phle soch to	0
you need to research how many lands islam invaded in the 200 years after the hijra.	1
aurat ho gy tum 😡😡	0
hello aunty he is just hitting his own thigh   kon si aankh se dekh rahi   yaa jyaad ho gya eeeks nakal gya rumhara   saali c grade bitch 😡😡🖕🏻🖕🏻🖕🏻	0
  ja bibi maaf kar..🤣🤣	1
dekh logo ko cheat b krre h ... or ek bhenchod hmara to koi katne ko b tyaar nhi 🥺	0
   jab hogi tab bhonkna yaha pe kukku name pta karlena punjab matlab btau sidhe shabdo me ( rand )	0
 hahahah rameen api pata nahi kahin parha tha id remember. khet ap keh rhi hyn thik hi hoga 🙊😂	1
buht zaberdast choice ha apke 👌	1
ji o chodry ustaad lgga en... india di pehn di siri	0
   nai nai nai bilkul bhi nai matlab tum ho kon jiski my ny tension leni hy wo to aesy hi my msgs kar rahi thi ky meryum sahiba wapes a jain	1
 lanti insan google kro phr bakwas kro ahlebait jan qurban hy tumhari trha nhe bughz main bhray hoay	0
admission ke liye tumhare pass i'd hai ,free ka gas ,home and so many nrc me tumhe kya problem yadi itna hi problems hain to pakistan bhag bhodsri saali	0
rt : black friday is yahoodi name..  so we are celebrating white/big friday 😝format yahoodi ho name yahoodi nahe hona chaye 😂	1
 😏😏😏 noi g mai backbencher thi	1
harrami police rishwat khore like imran chore zakat khore yahodi agents both are bajwa and imran chore destroyed pakistan and business of pakistan nation. lakh lanat teray jaman tay harrami qadiyani	0
tukde tukde gang ke baare mein bhi bhaunk le kuch kutte...apne baap kanhaiya chutiye ke baare mein bol...keju kutte ke baare mein bol...namo forever 👍👍	0
yeh bh...ri ka mch bahut bhaunk raha hai now needs castration	0
soch rha hn danish bhuk ki waja sy mara ha?	1
phir tau aap dab sae bari ahmaq hain kay aapke mutabaq jo chief ahmaq hai uss say tau baray shauq say shadi kar lo thi.	0
trri pen ki chooli q jalti ha randi k bachy  tera kia kaam army k mamlaat mein bolny ka ,  or haram k pillay tum lpg deshat ghard ho harami  afghani nikalo humary mulk say ,  tum ne apny haramiyun k sath  firing kr k q jawan shaheed kiay ?  kis yahodi k tookron pe palta ha tu kuttay	0
 cigrette vale pe b blush kiye thee	1
ps: main bhi small handle hoon.🙏🙏 abhi abhi ek bhai saheb taana maar ke gaye hain 😀😀	1
  hmain tou nzr nai ain kbhi teri stories😜😂😂	1
sardar mat bol isko yr or kuch bhi bol ganda sa sardar nhi hai aurat ki respect nhi karta asli nhi hai	0
aap 11 se pehle daal lia krien us me jo kch dalna ho	1
wah g munafiqat pm to charsi he hai hamara jaha marzi ho banda pm hamara woi rahey ga apeal be usi ko kerni	0
atankwadi pragya kya wo tere maa baap ko bomb se udai kya jo tu chutiya paida hua or digvijay singh jo rishte me tera baap lagta h usne bola tha hafiz sahid ji osama ji samjha n gutterchhap.	0
date pe bill khud pay kro. #stopauratbarbadimarch	1
    pattharbaazi aur public property wahi damage karte jo 10-10 bachche paida karke 1 paise ka tax na dete. jinki jeb se paisa jaata unhe hi kadar hoti. abhi jo tax dete wo dikhayenge 2024 mein 2019 ka repeat telecast 😂	1
q kasa diya .#coronarvirus bhai please bachoo is virus se #help karo bus ki.#godsaveus 	1
hahaha pahly sochun ga phir nah kah dunga	1
  kis k jahaz pe gai sawal ye hai😜😜😜😜😜	1
   bhai aap bhi samjho. sirf 20 seconds mein sara drama pura. media coverage walon ko koi darr nhi. gajjab!!!! 🤔🤔🤔🤔🤔  	1
 mujhe tm par fakhr h tumhe main bohat bohat pasnd karta ho i really like you agr meri baat achi lage to reply karna	1
bahanchod kash us din teri maa ne oral hi kr lia hota	0
lun pr charey  apni marzi se aye hain bharwe	0
le ab toh effect mein bhi aa gaya...ab ek kar burnol laga le...🤣🤣🤣🤣🤣🤣 kuch ukhad payi kya abhi tak pakistani suariya...tere saath ke kutte bhi bas bhaunk paye ...	0
 na andha na bahra pyar chalak hota ha 🎶	1
rao jee apke peechay konsi mehwish parr gayi hai.	1
 allah ki mehrbani se dushman per lanat	0
nicknames of my friends are quite unique. 1. basanti💃 2. charsi👺 3. billo😸 4. saddiqui chowk😜 5. neeli🤣	1
  dekh sab ko pata ke ab tu mujhe yaad nii krti🙂	1
g bilkul laanat ho aesi kartuton par..!! this is clear violation of military sops. budhhay ko sharam karni chahiye thori si..!	0
tumse to wo bhi nhi bach pa rahi 🤣🤣🤣	1
 kon hai headr mein ? 👀	1
wasy ek cheze nahi kahi pm ny  pakistani o ghabrana nahi ha	1
chandrachud ki sahi li jaa rahi hai, lekin ye bhenchod nazeer ko free pass  kaise mil raha hai?	0
 apki behuda soch kisi b logo k pichy chupy iska pata logo ko chal hi jana hy, bs dukh is baat ka hy k hamary kuch bewaqoof log bina sochy aap jesi aurato ki bato me ajaty hyn.	0
rt :  are jo baag mein betthe hai unko samjho, tum ko samj mein aa gaya to kya laddu bante 😊😊😁😁	1
  na na koi buri bat nhi khudh bhi stalk krti aap	1
ye kia bolrhy janab. pcb na hire ki ha through bid , tu they have gone through some bid at first. wo dainga na paisay pcb ko , aue khud wo ad's sa kamah ga aur viewershop etcetc sa	1
aby gashti aurat apni mou say b allah ka naam na lay	0
sc tou abhi bhi pro niazi hai , niazi ki khwahish par ns ko disqualify kya , wahan case kyon nahi jata niazi apna randi rona lay kar?	0
